Arabic_Saudi_Sentence,English_Terms,Word_Frequency
كل صباح أسوي CrossFit قبل ما أروح الشغل، عشان أبدأ يومي بطاقة ونشاط.,CrossFit,CrossFit(4)
لازم أوصل T4 قبل التاسعة عشان ألقى موقف فاضي، وإلا بدور نص ساعة أدور مكان.,T4,T4(3)
كل ما أروح ذاك الكافيه أطلب ice cream sundae لأنه مميز عندهم ومختلف عن أي مكان ثاني.,ice cream sundae,"ice(5), cream(5), sundae(5)"
صاحبي مهووس بمنتجات iPhone ما يشتري غيرها أبدًا، وكل جهاز عنده من نفس الماركة.,iPhone,iPhone(2)
دخلت من A8 لأنه أقرب بوابة للموقف اليوم، وكسبت وقت كنت محتاجه للاجتماع.,A8,A8(5)
المطعم الجديد يقدم chow mein بطريقة مختلفة عن اللي نعرفه، وصراحة الفكرة عجبتني كثير.,chow mein,"chow(1), mein(1)"
قدمت على internship جديدة وأنتظر الرد من الشركة، وقلبي معلق لين يوصلني الإيميل.,internship,internship(3)
بعد الإحماء بديت plank على وزن خفيف، عشان أتأكد من الحركة قبل ما أزيد الوزن.,plank,plank(3)
حضرت training مع فريق التسويق وطلعت بأفكار زينة، بنشتغل عليها الأسبوع الجاي.,training,training(5)
اشتريت تيشيرتين من Uniqlo بعد التخفيضات الأخيرة، وطلعوا أحسن مما توقعت بصراحة.,Uniqlo,Uniqlo(5)
زميلي أخذ bonus بعد سنتين شغل مجتهد، واستاهلها بجدارة على رأي الكل.,bonus,bonus(2)
شاركت في تحدي running مع أصحابي هالشهر، وكنا نتنافس على مين يلتزم أكثر.,running,running(4)
نشرت خبر ترقيتي على LinkedIn وتفاعل معي ناس كثير، حتى زملاء ما توقعت يشوفون المنشور.,LinkedIn,LinkedIn(2)
كل صباح أسوي cycling قبل ما أروح الشغل، عشان أبدأ يومي بطاقة ونشاط.,cycling,cycling(5)
لعبت yoga الصبح و volleyball بعد الظهر، يوم رياضي كامل خلاني أنام بدري من التعب.,"yoga, volleyball","yoga(4), volleyball(5)"
الشركة عطتنا raise على الأداء هالربع، وكانت مفاجأة حلوة لكل الفريق.,raise,raise(2)
صاحبي رشح لي documentary وقالي ما بتندم أبدًا، وفعلاً كان محق في كلامه.,documentary,documentary(5)
صاحبي مهووس بمنتجات Puma ما يشتري غيرها أبدًا، حتى لو طلعت له أغلى بكثير.,Puma,Puma(3)
سويت warm up و rows في نفس الجلسة، تعبت مرة بس حسيت بإنجاز حقيقي.,"warm up, rows","warm(3), up(3), rows(4)"
لعبنا rugby مساء أمس واستمتعنا مرة، وقررنا نصير نلعبه كل أسبوع من الحين.,rugby,rugby(2)
احنا قعدنا نتفرج Shahid VIP كامل بليلة وحدة، وما حسينا بالوقت وهو يمر.,Shahid VIP,"Shahid(5), VIP(5)"
صاحبتي تشتغل في Gate G5 من أول الأسبوع الماضي، وتقول الجو هناك مختلف عن مبناها القديم.,Gate G5,"Gate(4), G5(3)"
طلب مني المدير أحضر conference بخصوص المشروع الجديد، رغم إني كنت مشغول ذاك اليوم.,conference,conference(4)
شفت تخفيضات كبيرة على Bershka في التطبيق اليوم، وخلاص قررت أطلب قبل ما تخلص المقاسات.,Bershka,Bershka(3)
احنا وصاحباتي طلبنا muffin وقعدنا نتصور له قبل ما ناكل عشان نحفظ الذكرى.,muffin,muffin(1)
شفت تخفيضات كبيرة على Nissan في المعرض هالشهر، وفكرت جديًا إني أستبدل سيارتي.,Nissan,Nissan(4)
صاحبي مهووس بمنتجات Skechers ما يشتري غيرها أبدًا، حتى لو طلعت له أغلى بكثير.,Skechers,Skechers(3)
دخلت من T6 لأنه أقرب بوابة للموقف اليوم، وكسبت وقت كنت محتاجه للاجتماع.,T6,T6(4)
زملائي حجزوا طاولة في مطعم داخل Jax District للعشاء، وقعدنا نتكلم عن الشغل لين وقت متأخر.,Jax District,"Jax(5), District(5)"
قارنت بين New Balance و Vans قبل ما أقرر وش أشتري، وأخيرًا حسمت قراري بعد نقاش طويل مع صاحبي.,"New Balance, Vans","New(5), Balance(5), Vans(2)"
بدأت أتمرن yoga عشان أرفع لياقتي البدنية، ولاحظت فرق واضح بعد شهر بس.,yoga,yoga(5)
بديت حصتي بـ spin class عشان أسخن جسمي، قبل ما أنتقل للتمارين الأساسية.,spin class,"spin(3), class(3)"
حضرت فعالية networking وتعرفت على ناس بمجالي، وتبادلنا معلومات تواصل قد تفيدني قدام.,networking,networking(3)
كل صباح أسوي running قبل ما أروح الشغل، عشان أبدأ يومي بطاقة ونشاط.,running,running(5)
صاحبتي تشتغل في Gate G6 من أول الأسبوع الماضي، وتقول الجو هناك مختلف عن مبناها القديم.,Gate G6,"Gate(5), G6(1)"
راجعت الـ report مرتين قبل ما أرسله للإدارة، عشان أتأكد ما فيه أي خطأ.,report,report(2)
شفت مدربي يسوي squats بطريقة مختلفة عني تمامًا، فسألته يصححلي وضعيتي.,squats,squats(1)
الشباب طلبوا gelato وكل واحد أخذ نصيبه بسرعة قبل لا يبرد ويفقد طعمه.,gelato,gelato(1)
أول ما دخلت الجيم ما كنت أعرف أسوي rows صح، لين علمني مدربي بالتفصيل.,rows,rows(5)
المكتب الجديد تبعي صار في T6 بدل المبنى القديم، والانتقال كان أسهل مما توقعت.,T6,T6(5)
احنا سوينا warm up مع بعض عشان نحمس بعض، وضحكنا كثير من كثر التعب.,warm up,"warm(4), up(4)"
المدير طلب نجتمع في كافيه داخل Elements بدل المكتب عشان يغير جو الاجتماع شوي.,Elements,Elements(5)
المدير مو راضي عن الـ feedback ولازم نعيده من جديد، رغم إني اشتغلت عليه ساعات طويلة.,feedback,feedback(3)
رحنا Kingdom Centre عشان نتمشى ونشوف العروض الجديدة، وقعدنا هناك لين وقت متأخر من الليل.,Kingdom Centre,"Kingdom(5), Centre(5)"
شفت تخفيضات كبيرة على Lexus في المعرض هالشهر، وفكرت جديًا إني أستبدل سيارتي.,Lexus,Lexus(3)
بعد الشغل رحت Localizer أمشي شوي وأصفي ذهني، لأن يومي كان طويل ومتعب.,Localizer,Localizer(4)
المدرب زاد لي عدد plank هالأسبوع، وحسيت بتحدي واضح من أول حصة.,plank,plank(4)
شفت تخفيضات كبيرة على Toyota في المعرض هالشهر، وفكرت جديًا إني أستبدل سيارتي.,Toyota,Toyota(2)
المدرب علمنا حركات جديدة في CrossFit اليوم، وحسيت إني تحسنت كثير عن الحصة اللي فاتت.,CrossFit,CrossFit(5)
الـ coach الجديد غيّر خطة اللعب كلها، وحسينا بفرق واضح من أول أسبوع.,coach,coach(2)
أول مرة أزور Downtown وكان أكبر مما توقعت بكثير، لدرجة إني تهت وأنا أدور المخرج.,Downtown,Downtown(4)
رحت Downtown الصبح و First Avenue العصر، يوم تسوق كامل خلاني أتعب بس استمتعت فيه.,"Downtown, First Avenue","Downtown(5), First(5), Avenue(5)"
لعبت golf الصبح و skating بعد الظهر، يوم رياضي كامل خلاني أنام بدري من التعب.,"golf, skating","golf(3), skating(2)"
كل ما أروح ذاك الكافيه أطلب fish&chips لأنه مميز عندهم ومختلف عن أي مكان ثاني.,fish&chips,fish&chips(3)
اشتريت حذاء Vans جديد وكان مريح مرة، لدرجة إني نسيت إني لابسه طول اليوم.,Vans,Vans(3)
كل ما أروح ذاك الكافيه أطلب ribeye لأنه مميز عندهم ومختلف عن أي مكان ثاني.,ribeye,ribeye(3)
زوجي اشترى سيارة Mercedes وقاعد يفتخر فيها قدام الكل، ويغسلها بنفسه كل أسبوع.,Mercedes,Mercedes(4)
أمي سوت iced coffee على طريقتها الخاصة وصار ألذ من أي مطعم مشهور جربناه من قبل.,iced coffee,"iced(4), coffee(4)"
نزلت آخذ قهوتي من Five Elephants قبل لا أدخل الاجتماع، عشان أصحى شوي وأركز أكثر.,Five Elephants,"Five(3), Elephants(3)"
زملائي حجزوا طاولة في مطعم داخل Granada للعشاء، وقعدنا نتكلم عن الشغل لين وقت متأخر.,Granada,Granada(5)
رحنا Localizer عشان نتمشى ونشوف العروض الجديدة، وقعدنا هناك لين وقت متأخر من الليل.,Localizer,Localizer(5)
شفت مراجعات كثيرة عن series قبل لا أشوفه، وأغلبها كانت إيجابية بشكل لافت.,series,series(5)
زميلي مكتبه في Lagate وأنا في Claro ، فنتقابل بس وقت الغدا لأن المسافة بينا بعيدة شوي.,"Lagate, Claro","Lagate(5), Claro(3)"
حجزنا ملعب golf مع الشباب نهاية الأسبوع، وضحكنا أكثر مما لعبنا بصراحة.,golf,golf(4)
صاحبي مهووس بمنتجات Crocs ما يشتري غيرها أبدًا، حتى لو طلعت له أغلى بكثير.,Crocs,Crocs(4)
زميلي يشجعني ألعب badminton معاه كل خميس، وصارت من أحلى مواعيدي الأسبوعية.,badminton,badminton(5)
رحت من T5 إلى A6 مشي عشان أوصل الاجتماع بسرعة، ووصلت بالكاد قبل ما يبدأ.,"T5, A6","T5(4), A6(5)"
شفت league حماسي أمس وانبسطت مرة، وقعدت أتكلم عنه مع أصحابي طول اليوم.,league,league(3)
